year,ranking,album,writer
1948,465,Muddy Waters 'Rollin' Stone',McKinley Morganfield
1949,112,Hank Williams 'I'm So Lonesome I Could Cry',Williams
1953,217,Hank Williams 'Your Cheatin' Heart',Williams Fred Rose
1953,254,The Drifters 'Money Honey',Jesse Stone
1954,113,Elvis Presley 'That's All Right',Arthur Crudup
1954,127,Big Joe Turner 'Shake Rattle & Roll',Charles Calhoun
1954,152,The Penguins 'Earth Angel',Jesse Belvin  Curtis Williams
1954,159,Bill Haley and His Comets '(We're Gonna) Rock Around the Clock',Jimmy DeKnight Max Freedman
1954,226,Muddy Waters 'Hoochie Coochie Man',Willie Dixon
1954,239,Ray Charles 'I Got a Woman',Charles  Renald Richard
1954,337,Earth Wind and Fire 'Way of the World',Maurice White  Verdine White  Charles Stepney
1955,18,Chuck Berry 'Maybellene',Berry
1955,43,Little Richard 'Tutti Frutti',Dorothy La Bostrie  Richard Penniman  Joe Lubin
1955,62,Bo Diddley 'Bo Diddley',Ellas McDaniel
1955,77,Elvis Presley 'Mystery Train',Junior Parker  Sam Phillips
1955,230,Muddy Waters 'Mannish Boy',McKinley Morganfield  Mel London  Ellas McDaniel
1955,360,The Platters 'The Great Pretender',Buck Ram
1955,378,Bo Diddley 'I'm a Man',Diddley
1955,438,Fats Domino 'Ain't It a Shame',Dave Bartholomew  Domino
1956,19,Elvis Presley 'Hound Dog',Jerry Leiber  Mike Stoller
1956,30,Johnny Cash 'I Walk the Line',Cash
1956,45,Elvis Presley 'Heartbreak Hotel',Mae Boren Axton  Tommy Durden  Presley
1956,55,Little Richard 'Long Tall Sally',Robert  Bumps  Blackwell  Enotris Johnson  Little Richard
1956,82,Fats Domino 'Blueberry Hill',Al Lewis  Larry Stock  Vincent Rose
1956,90,The Five Satins 'In the Still of the Night',Fred Parris
1956,95,Carl Perkins 'Blue Suede Shoes',Perkins
1956,97,Chuck Berry 'Roll Over Beethoven',Berry
1956,103,Gene Vincent and His Blue Caps 'Be Bop A Lula',Vincent  Bill Davis
1956,143,James Brown and His Famous Flames 'Please Please Please',Brown  Johnny Terry
