340  *  352349  *  Bob Dylan, 'Subterranean Homesick Blues'*  Dylan  *   March &apos;65, Columbia
339  *  352350  *  Bonnie Raitt, 'I Can't Make You Love Me'*  Mike Reid, Allen Shamblin  *  Nov. &apos;91, Capitol
338  *  352351  *  Queen, 'We Will Rock You'*  Brian May, Mike Stone  *   Oct. &apos;77, Elektra
336  *  352352  *  Earth, Wind and Fire, 'Way of the World'*  John Densmore, Robbie Krieger, Ray Manzarek, Jim Morrison  *   March &apos;67, Elektra
335  *  352354  *  Jerry Butler and The Impressions, 'For Your Precious Love'*   Arthur Brooks, Butler  *   June &apos;58, Falcon
334  *  352355  *  James Brown, 'Get Up (I Feel Like Being a) Sex Machine'*   Brown, Bobby Byrd,Ron Lenhoff  *   July &apos;70, King
333  *  352356  *  The Young Rascals, 'Good Lovin''*   Rudy Clark, Arthur Resnick  *   March &apos;66, Atlantic
332  *  352357  *  The Supremes, 'Baby Love'*  Brian Holland,Lamont Dozier, Eddie Holland  *   Sept. &apos;64, Motown
331  *  352358  *  Patti Smith Group, 'Dancing Barefoot'*   Smith, Ivan Kral  *   May &apos;79, Arista
330  *  352359  *  Public Enemy, 'Fight the Power'*   Chuck D, Eric Sadler, Hank Shocklee, Keith Shocklee  *   June &apos;89, Def Jam
329  *  352360  *  Neil Young, 'Cortez the Killer'*  Young  *  Nov. &apos;75, Reprise
328  *  352361  *  Led Zeppelin, 'Heartbreaker'*  Jimmy Page, Robert Plant, John Bonham, John Paul Jones   *  Oct. &apos;69, Atlantic
327  *  352362  *  Franz Ferdinand, 'Take Me Out'*  Alex Kapranos, Nick McCarthy  *   Feb. &apos;04, Domino
326  *  352363  *  Alice Cooper, 'School's Out'*  Michael Bruce, Glen Buxton, Cooper, Dennis Dunway, Neal Smith  *  May &apos;72, Warner Bros.
325  *  352364  *  Jimmy Cliff, 'Many Rivers to Cross'*   Cliff  *  Dec. &apos;69, A&amp;M
324  *  352365  *  Pink Floyd, 'Wish You Were Here'*  David Gilmour, Roger Waters  *  Sept. &apos;75, Columbia
323  *  352366  *  Elvis Costello, 'Alison'*  Costello  *   Nov. &apos;77, Columbia
322  *  352367  *  The Animals, 'Don't Let Me Be Misunderstood'*   Bennie Benjamin, Sol Marcus,Gloria Caldwell  *  Jan. &apos;65, MGM
321  *  352368  *  Pink Floyd, 'Comfortably Numb'*  David Gilmour, Roger Waters  *   Dec. &apos;79, Columbia
320  *  352369  *  Screamin' Jay Hawkins, 'I Put a Spell on You'*   Screamin&#x2019; Jay Hawkins, Herb Slotkin  *  Sept. &apos;56, OKeh
319  *  352370  *  Roy Orbison, 'In Dreams'*  Joe Melson, Orbison  *   Feb. &apos;63, Monument
318  *  352371  *  The Everly Brothers, 'Wake Up Little Susie'*   Felice Bryant, Boudleaux Bryant  *  Sept. &apos;57, Cadence
317  *  352372  *  Black Sabbath, 'Iron Man'*   Black Sabbath  *   Feb. &apos;71, Warner
316  *  352373  *  Tina Turner, 'What's Love Got to Do With It'*  Terry Britten, Graham Lyle  *  June &apos;84, Capitol
315  *  352374  *  Jackie Wilson, 'Lonely Teardrops'*   Berry Gordy, Gwen Gordy, Tyran Carlo  *  Nov. &apos;58, Brunswick
314  *  352375  *  Frankie Lymon and The Teenagers, 'Why Do Fools Fall In Love'*   Lymon, Morris Levy  *   Jan. &apos;56, Gee
313  *  352377  *  The Jam, 'That's Entertainment'*  Paul Weller  *  Nov. &apos;80, Polydor
